name,price,weight,brand,link
"Свинина Черкизово Премиум, в маринаде по-дижонски, охлаждённая",439 ₽,700 г,,https://samokat.ru/product/77eee813-45b5-11ee-b971-08c0eb32008b
"Медальоны Самокат, из индейки, охлаждённые",419 ₽,500 г,,https://samokat.ru/product/0e68ca6b-d53d-11ed-b109-08c0eb31fffb
"Говяжий стейк Мачете Самокат, охлаждённый",514 ₽,200 г,,https://samokat.ru/product/173b94f7-66a1-11ee-b972-08c0eb32008b
"Говяжий гуляш Самокат, охлаждённый",429,350 г,,https://samokat.ru/product/18dee8c6-8fa0-11ef-b10b-08c0eb31fffb
"Котлеты Самокат, Нежные, из индейки, рубленые, охлаждённые",279 ₽,450 г,,https://samokat.ru/product/19c1d044-b355-4544-94d0-a95867f52e24
"Антрекот Самокат, из говядины, без кости, охлаждённый",499 ₽,350 г,,https://samokat.ru/product/36015488-ad81-11ef-b10b-08c0eb31fffb
"Говяжий фарш Самокат, охлаждённый",349 ₽,450 г,,https://samokat.ru/product/36d66c26-aeb3-11ed-b970-08c0eb32008b
"Мякоть говяжьей лопатки Самокат, охлаждённая",539 ₽,400 г,,https://samokat.ru/product/41b21a2c-f31a-11ee-b973-08c0eb32008b
"Куриное филе бедра Самокат, с овощами, охлаждённое",509 ₽,900 г,,https://samokat.ru/product/521bbf8d-d7d0-11ed-885d-08c0eb32014b
"Голубцы Самокат, охлаждённые",239 ₽,400 г,,https://samokat.ru/product/5543342d-0c4e-11ee-b10a-08c0eb31fffb
"Стрипсы Самокат, из индейки, в панировке, охлаждённые",275 ₽,300 г,,https://samokat.ru/product/55d7145e-3b3f-4505-9d66-ab2e4be90970
"Свиной шницель Самокат, По-венски, в панировке, охлаждённый",189 ₽,250 г,,https://samokat.ru/product/6a6e0e59-35dd-11ee-b10a-08c0eb31fffb
"Свиное рагу Самокат, с овощами, охлаждённое",399 ₽,700 г,,https://samokat.ru/product/7a80144c-8631-11ef-8861-08c0eb32014b
"Куриный шашлык Самокат, в сливочном маринаде, охлаждённый",589 ₽,1 кг,,https://samokat.ru/product/7d857b07-9ff2-4c14-9d83-1eea58fb2df7
"Цыплёнок Самокат, в маринаде, охлаждённый",449 ₽,800 г,,https://samokat.ru/product/a5e3f174-d559-4f49-bee4-9f0c9e084bdf
"Котлеты Самокат, из мяса цыплёнка-бройлера, со сливочным маслом, охлаждённые",299 ₽,400 г,,https://samokat.ru/product/d33b468a-4ffc-40d1-a26d-2aee2236537a
"Колбаски Самокат, с сыром, в беконе, для жарки",469 ₽,350 г,,https://samokat.ru/product/eca0c464-b72f-4fb6-82dd-01ec503712b9
"Свиные рёбрышки Самокат, в маринаде, охлаждённые",459 ₽,700 г,,https://samokat.ru/product/fc5e570d-61bf-4022-b357-1e494306d3a7
"Говяжий стейк Рибай Самокат, с ароматным маслом, охлаждённый",559,200 г,,https://samokat.ru/product/fd9ec04b-864f-11ef-ae7a-08c0eb320147
"Свиное рагу Самокат, с овощами, охлаждённое",399 ₽,700 г,,https://samokat.ru/product/7a80144c-8631-11ef-8861-08c0eb32014b
"Свиные рёбрышки Самокат, в маринаде, охлаждённые",459 ₽,700 г,,https://samokat.ru/product/fc5e570d-61bf-4022-b357-1e494306d3a7
"Стейк Порк Слово мясника, охлаждённый",229,280 г,,https://samokat.ru/product/c61bed0b-86df-11ef-ae7a-08c0eb320147
"Свиной шашлык Слово мясника, охлаждённый",493,1 кг,,https://samokat.ru/product/8a2c2da7-9875-11eb-85a9-1c34dae33151
"Колбаски Ближние горки, Австрийские, из свинины, охлаждённые",249,400 г,,https://samokat.ru/product/0f6ea386-7692-11ef-b10b-08c0eb31fffb
"Свиной шницель Слово мясника, охлаждённый",289,400 г,,https://samokat.ru/product/6fc5ae2c-e5ef-11ea-8599-1c34dae33151
"Котлеты по-домашнему Слово мясника, Сливочные, свинина и говядина, охлаждённые",199 ₽,360 г,,https://samokat.ru/product/7ee7b01c-5865-11ee-b10a-08c0eb31fffb
"Фрикадельки Черкизово, Домашние, из свинины и говядины, охлаждённые",229 ₽,360 г,,https://samokat.ru/product/c6441875-fb11-11ea-8599-1c34dae33151
"Свинина Черкизово Премиум, в маринаде по-дижонски, охлаждённая",439 ₽,700 г,,https://samokat.ru/product/77eee813-45b5-11ee-b971-08c0eb32008b
"Говяжий стейк Мачете Самокат, охлаждённый",514 ₽,200 г,,https://samokat.ru/product/173b94f7-66a1-11ee-b972-08c0eb32008b
"Говяжий гуляш Самокат, охлаждённый",429,350 г,,https://samokat.ru/product/18dee8c6-8fa0-11ef-b10b-08c0eb31fffb
"Антрекот Самокат, из говядины, без кости, охлаждённый",499 ₽,350 г,,https://samokat.ru/product/36015488-ad81-11ef-b10b-08c0eb31fffb
"Мякоть говяжьей лопатки Самокат, охлаждённая",539 ₽,400 г,,https://samokat.ru/product/41b21a2c-f31a-11ee-b973-08c0eb32008b
"Говяжий стейк Рибай Самокат, с ароматным маслом, охлаждённый",559,200 г,,https://samokat.ru/product/fd9ec04b-864f-11ef-ae7a-08c0eb320147
"Чевапчичи Мираторг Black Angus, из мраморной говядины, охлаждённые",325 ₽,300 г,,https://samokat.ru/product/3fde2587-fa98-11e8-80c5-0cc47a817925
"Стейк Паризьен Мираторг Black Angus, из мраморной говядины, охлаждённый",679 ₽,290 г,,https://samokat.ru/product/286a0c9d-164e-11ec-a0ee-ec0d9a21b021
"Говяжья мякоть бедра Мираторг, охлаждённая",1029 ₽,600 г,,https://samokat.ru/product/18a49931-9e30-11e9-bb93-ac1f6b6e023e
"Говяжий стейк Бавет Мясо есть!, охлаждённый",495 ₽,290 г,,https://samokat.ru/product/d4ba30d5-8d57-11ef-b10b-08c0eb31fffb
"Говяжий стейк Минутка Мясо есть!, в маринаде, охлаждённый",319 ₽,150 г,,https://samokat.ru/product/23bc5560-047d-11ee-885e-08c0eb32014b
"Томлёная говядина Ника трейд, со специями",425 ₽,350 г,,https://samokat.ru/product/ebaf8cac-8bc1-11ef-b973-08c0eb32008b
"Стейк Ранчо Праймбиф, из мраморной говядины, охлаждённый",799 ₽,400 г,,https://samokat.ru/product/af85d3a2-a14b-11ed-885d-08c0eb32014b
"Стейк Минутка Праймбиф, из мраморной говядины, охлаждённый",825 ₽,400 г,,https://samokat.ru/product/1e8cf4e4-9fe9-11ea-bc7d-0050560306e1
"Котлеты по-домашнему Слово мясника, Сливочные, свинина и говядина, охлаждённые",199 ₽,360 г,,https://samokat.ru/product/7ee7b01c-5865-11ee-b10a-08c0eb31fffb
"Говяжий стейк Чак Ролл Стейковка, охлаждённый",329 ₽,200 г,,https://samokat.ru/product/f70c2f26-e1ff-11ee-b10b-08c0eb31fffb
"Фрикадельки Черкизово, Домашние, из свинины и говядины, охлаждённые",229 ₽,360 г,,https://samokat.ru/product/c6441875-fb11-11ea-8599-1c34dae33151
"Говяжий стейк Мачете Самокат, охлаждённый",514 ₽,200 г,,https://samokat.ru/product/173b94f7-66a1-11ee-b972-08c0eb32008b
"Говяжий стейк Рибай Самокат, с ароматным маслом, охлаждённый",559,200 г,,https://samokat.ru/product/fd9ec04b-864f-11ef-ae7a-08c0eb320147
"Стейк По-мексикански Индилайт, из индейки, охлаждённый",509 ₽,600 г,,https://samokat.ru/product/29933162-9006-11ec-b967-08c0eb32008b
"Стейк Индилайт, из грудки индейки",399 ₽,525 г,,https://samokat.ru/product/6305be46-612a-11e9-80c5-0cc47a817925
"Стейк Паризьен Мираторг Black Angus, из мраморной говядины, охлаждённый",679 ₽,290 г,,https://samokat.ru/product/286a0c9d-164e-11ec-a0ee-ec0d9a21b021
"Говяжий стейк Бавет Мясо есть!, охлаждённый",495 ₽,290 г,,https://samokat.ru/product/d4ba30d5-8d57-11ef-b10b-08c0eb31fffb
"Говяжий стейк Минутка Мясо есть!, в маринаде, охлаждённый",319 ₽,150 г,,https://samokat.ru/product/23bc5560-047d-11ee-885e-08c0eb32014b
"Стейк Ранчо Праймбиф, из мраморной говядины, охлаждённый",799 ₽,400 г,,https://samokat.ru/product/af85d3a2-a14b-11ed-885d-08c0eb32014b
"Стейк Минутка Праймбиф, из мраморной говядины, охлаждённый",825 ₽,400 г,,https://samokat.ru/product/1e8cf4e4-9fe9-11ea-bc7d-0050560306e1
"Говяжий стейк Чак Ролл Стейковка, охлаждённый",329 ₽,200 г,,https://samokat.ru/product/f70c2f26-e1ff-11ee-b10b-08c0eb31fffb
"Куриное филе бедра Самокат, с овощами, охлаждённое",509 ₽,900 г,,https://samokat.ru/product/521bbf8d-d7d0-11ed-885d-08c0eb32014b
"Куриный шашлык Самокат, в сливочном маринаде, охлаждённый",589 ₽,1 кг,,https://samokat.ru/product/7d857b07-9ff2-4c14-9d83-1eea58fb2df7
"Цыплёнок Самокат, в маринаде, охлаждённый",449 ₽,800 г,,https://samokat.ru/product/a5e3f174-d559-4f49-bee4-9f0c9e084bdf
"Котлеты Самокат, из мяса цыплёнка-бройлера, со сливочным маслом, охлаждённые",299 ₽,400 г,,https://samokat.ru/product/d33b468a-4ffc-40d1-a26d-2aee2236537a
"Куриные котлеты Самокат, в сухарях, охлаждённые",219 ₽,270 г,,https://samokat.ru/product/fbe7556d-e360-42c7-a692-4e1c4ab47697
"Мясо цыплёнка Ив. Курников Кур-нята, котлетное, охлаждённое",435 ₽,650 г,,https://samokat.ru/product/344d7df8-156d-428d-a21f-aee9904771a6
"Печень цыплёнка-бройлера Наша птичка, охлаждённая",166 ₽,490 г,,https://samokat.ru/product/3aac2b0a-9f9a-11ec-b967-08c0eb32008b
"Голень цыплёнка-бройлера Наша птичка, охлаждённая",325 ₽,900 г,,https://samokat.ru/product/f9c1aa9f-5f6d-11ed-b107-08c0eb31fffb
"Куриное филе Ника трейд Минутка, с прованскими травами, охлаждённое",329 ₽,350 г,,https://samokat.ru/product/aeaf08e8-1f8f-4d71-aede-471d07649cc4
"Филе грудки цыплёнка-бройлера Петелинка, кубики, охлаждённое",385 ₽,550 г,,https://samokat.ru/product/1027fcda-29fe-11ee-885f-08c0eb32014b
"Филе грудки цыплят-бройлеров Петелинка, По-мексикански, в соусе чураско, охлаждённое",405 ₽,450 г,,https://samokat.ru/product/e4e0b1df-6425-11ed-b96e-08c0eb32008b
"Фарш Петелинка, Премиум, из филе куриной грудки, охлаждённый",199 ₽,450 г,,https://samokat.ru/product/a28f73de-fd22-11ec-b96b-08c0eb32008b
"Плов Прямо с фермы, с мясом цыплёнка-бройлера, охлаждённый",399 ₽,700 г,,https://samokat.ru/product/48478ae3-0a41-11f0-aa3a-be3af2b6059f
"Бёдрышки цыплёнка табака Рококо, охлаждённые",369 ₽,900 г,,https://samokat.ru/product/352f8b2f-5b66-11ed-885b-08c0eb32014b
"Филе цыплёнка-бройлера Троекурово, охлаждённое",459 ₽,900 г,,https://samokat.ru/product/5cc1190f-6f6e-11ea-9786-0050560307be
"Куриный шницель Троекурово, из рубленного филе, охлаждённый",189 ₽,350 г,,https://samokat.ru/product/db5a5d3f-6f70-11ea-9786-0050560307be
"Куриные фрикадельки Троекурово, охлаждённые",199 ₽,300 г,,https://samokat.ru/product/c9995fef-0d5f-11eb-8599-1c34dae33151
"Филе бедра цыплёнка-бройлера Троекурово, охлаждённое",405 ₽,750 г,,https://samokat.ru/product/463b8b1c-6f6e-11ea-9786-0050560307be
Голень цыплёнка-бройлера Троекурово,339 ₽,900 г,,https://samokat.ru/product/8f5b8279-6f6d-11ea-9786-0050560307be
Бедро цыплёнка-бройлера Троекурово,289 ₽,900 г,,https://samokat.ru/product/7386f8c7-6f6d-11ea-9786-0050560307be
Запечённое филе куриной грудки Эко,299,160 г,,https://samokat.ru/product/576e5768-ea40-4e1a-b4be-d02f0988eb25
"Медальоны Самокат, из индейки, охлаждённые",419 ₽,500 г,,https://samokat.ru/product/0e68ca6b-d53d-11ed-b109-08c0eb31fffb
"Котлеты Самокат, Нежные, из индейки, рубленые, охлаждённые",279 ₽,450 г,,https://samokat.ru/product/19c1d044-b355-4544-94d0-a95867f52e24
"Стрипсы Самокат, из индейки, в панировке, охлаждённые",275 ₽,300 г,,https://samokat.ru/product/55d7145e-3b3f-4505-9d66-ab2e4be90970
"Стейк По-мексикански Индилайт, из индейки, охлаждённый",509 ₽,600 г,,https://samokat.ru/product/29933162-9006-11ec-b967-08c0eb32008b
"Биточки Самокат, из индейки, с сыром крем-чиз, охлаждённые",279 ₽,400 г,,https://samokat.ru/product/73b37fc6-2e0d-4d20-9473-97d2757644b3
"Стейк Индилайт, из грудки индейки",399 ₽,525 г,,https://samokat.ru/product/6305be46-612a-11e9-80c5-0cc47a817925
"Индейка Индилайт, Духовая, охлаждённая",285 ₽,400 г,,https://samokat.ru/product/0b296d6f-1e14-11ed-885a-08c0eb32014b
"Колбаски Барбекю Индилайт, из индейки, охлаждённые",289 ₽,350 г,,https://samokat.ru/product/8a697b58-05a1-11f0-aa23-be3af2b6059f
"Фарш Индилайт, из индейки, охлаждённый",259 ₽,450 г,,https://samokat.ru/product/1737841a-54fd-11eb-85a3-1c34dae33151
"Тефтели Индилайт, из индейки, охлаждённые",219 ₽,330 г,,https://samokat.ru/product/66c96405-eb64-11ea-8599-1c34dae33151
"Филе грудки индейки Индилайт, слайсы, охлаждённые",269 ₽,300 г,,https://samokat.ru/product/7dae5e1d-cae1-49db-a9d6-8010321bf8aa
"Филе бедра индейки Пава-Пава, охлаждённое",389 ₽,450 г,,https://samokat.ru/product/b441d699-f216-11ec-8859-08c0eb32014b
"Говяжий фарш Самокат, охлаждённый",349 ₽,450 г,,https://samokat.ru/product/36d66c26-aeb3-11ed-b970-08c0eb32008b
"Фарш Индилайт, из индейки, охлаждённый",259 ₽,450 г,,https://samokat.ru/product/1737841a-54fd-11eb-85a3-1c34dae33151
"Свино-говяжий фарш Мираторг, Домашний, охлаждённый",281,400 г,,https://samokat.ru/product/24411c40-f6b7-11e8-80c5-0cc47a817925
"Фарш Петелинка, Премиум, из филе куриной грудки, охлаждённый",199 ₽,450 г,,https://samokat.ru/product/a28f73de-fd22-11ec-b96b-08c0eb32008b
"Свиной фарш Слово мясника, охлаждённый",199,400 г,,https://samokat.ru/product/169c37d0-e5f0-11ea-8599-1c34dae33151
"Свино-говяжий фарш Слово мясника, По-домашнему, охлаждённый",199 ₽,400 г,,https://samokat.ru/product/33969a48-e5f0-11ea-8599-1c34dae33151
"Куриный шашлык Самокат, в сливочном маринаде, охлаждённый",589 ₽,1 кг,,https://samokat.ru/product/7d857b07-9ff2-4c14-9d83-1eea58fb2df7
"Цыплёнок Самокат, в маринаде, охлаждённый",449 ₽,800 г,,https://samokat.ru/product/a5e3f174-d559-4f49-bee4-9f0c9e084bdf
"Куриное филе бедра Самокат, с овощами, охлаждённое",509 ₽,900 г,,https://samokat.ru/product/521bbf8d-d7d0-11ed-885d-08c0eb32014b
"Свиное рагу Самокат, с овощами, охлаждённое",399 ₽,700 г,,https://samokat.ru/product/7a80144c-8631-11ef-8861-08c0eb32014b
"Свиные рёбрышки Самокат, в маринаде, охлаждённые",459 ₽,700 г,,https://samokat.ru/product/fc5e570d-61bf-4022-b357-1e494306d3a7
"Плов Прямо с фермы, с мясом цыплёнка-бройлера, охлаждённый",399 ₽,700 г,,https://samokat.ru/product/48478ae3-0a41-11f0-aa3a-be3af2b6059f
"Стейк Порк Слово мясника, охлаждённый",229,280 г,,https://samokat.ru/product/c61bed0b-86df-11ef-ae7a-08c0eb320147
"Стейк По-мексикански Индилайт, из индейки, охлаждённый",509 ₽,600 г,,https://samokat.ru/product/29933162-9006-11ec-b967-08c0eb32008b
"Говяжий стейк Минутка Мясо есть!, в маринаде, охлаждённый",319 ₽,150 г,,https://samokat.ru/product/23bc5560-047d-11ee-885e-08c0eb32014b
"Свинина Черкизово Премиум, в маринаде по-дижонски, охлаждённая",439 ₽,700 г,,https://samokat.ru/product/77eee813-45b5-11ee-b971-08c0eb32008b
"Котлеты Самокат, Нежные, из индейки, рубленые, охлаждённые",279 ₽,450 г,,https://samokat.ru/product/19c1d044-b355-4544-94d0-a95867f52e24
"Голубцы Самокат, охлаждённые",239 ₽,400 г,,https://samokat.ru/product/5543342d-0c4e-11ee-b10a-08c0eb31fffb
"Стрипсы Самокат, из индейки, в панировке, охлаждённые",275 ₽,300 г,,https://samokat.ru/product/55d7145e-3b3f-4505-9d66-ab2e4be90970
"Свиной шницель Самокат, По-венски, в панировке, охлаждённый",189 ₽,250 г,,https://samokat.ru/product/6a6e0e59-35dd-11ee-b10a-08c0eb31fffb
"Биточки Самокат, из индейки, с сыром крем-чиз, охлаждённые",279 ₽,400 г,,https://samokat.ru/product/73b37fc6-2e0d-4d20-9473-97d2757644b3
"Котлеты Самокат, из мяса цыплёнка-бройлера, со сливочным маслом, охлаждённые",299 ₽,400 г,,https://samokat.ru/product/d33b468a-4ffc-40d1-a26d-2aee2236537a
"Колбаски Самокат, с сыром, в беконе, для жарки",469 ₽,350 г,,https://samokat.ru/product/eca0c464-b72f-4fb6-82dd-01ec503712b9
"Куриные котлеты Самокат, в сухарях, охлаждённые",219 ₽,270 г,,https://samokat.ru/product/fbe7556d-e360-42c7-a692-4e1c4ab47697
"Колбаски Ближние горки, Австрийские, из свинины, охлаждённые",249,400 г,,https://samokat.ru/product/0f6ea386-7692-11ef-b10b-08c0eb31fffb
"Колбаски Велком, Австрийские, для гриля",409,320 г,,https://samokat.ru/product/dc88539a-1189-499c-8f0a-f9fdc8f6d5a6
"Колбаски Барбекю Индилайт, из индейки, охлаждённые",289 ₽,350 г,,https://samokat.ru/product/8a697b58-05a1-11f0-aa23-be3af2b6059f
"Тефтели Индилайт, из индейки, охлаждённые",219 ₽,330 г,,https://samokat.ru/product/66c96405-eb64-11ea-8599-1c34dae33151
"Чевапчичи Мираторг Black Angus, из мраморной говядины, охлаждённые",325 ₽,300 г,,https://samokat.ru/product/3fde2587-fa98-11e8-80c5-0cc47a817925
"Колбаски Останкино, Мюнхенские",399,320 г,,https://samokat.ru/product/15eea1ef-fd98-11ef-a97a-be3af2b6059f
"Дижонские колбаски Слово мясника, с горчицей, охлаждённые",239,360 г,,https://samokat.ru/product/55b0a014-0ae2-11f0-a5cb-7cc255b74513
"Котлеты по-домашнему Слово мясника, Сливочные, свинина и говядина, охлаждённые",199 ₽,360 г,,https://samokat.ru/product/7ee7b01c-5865-11ee-b10a-08c0eb31fffb
"Куриный шницель Троекурово, из рубленного филе, охлаждённый",189 ₽,350 г,,https://samokat.ru/product/db5a5d3f-6f70-11ea-9786-0050560307be
"Куриные фрикадельки Троекурово, охлаждённые",199 ₽,300 г,,https://samokat.ru/product/c9995fef-0d5f-11eb-8599-1c34dae33151
"Фрикадельки Черкизово, Домашние, из свинины и говядины, охлаждённые",229 ₽,360 г,,https://samokat.ru/product/c6441875-fb11-11ea-8599-1c34dae33151
"Утиный окорочок Озёрка, охлаждённый",429 ₽,500 г,,https://samokat.ru/product/c03a887c-6bf5-11ed-885b-08c0eb32014b
"Филе спинки кролика Кролторг, охлаждённое",389 ₽,250 г,,https://samokat.ru/product/d080bc01-27c6-11ef-b10b-08c0eb31fffb
"Рукав для запекания Самокат с жаропрочными клипсами, 3 м",69 ₽,,,https://samokat.ru/product/fc802687-2ae9-11ee-ae78-08c0eb320147
